4,233.0,27.0,57.0,217820809.25,Paddy
12,234.0,27.0,54.5,54127374.66666666,Paddy
3,3105.0,27.2,58.5,122668146.33333331,Paddy
11,2903.1,27.0,53.0,11720652.272727272,Paddy
8,2996.6,27.0,56.0,13322474.75,Paddy
1591,2746.2,40.0,54.0,407586.820867379,Groundnut
1122,3360.0,41.0,55.5,429816.1773618538,Groundnut
619,3605.4,42.0,55.0,15167.2746365105,Groundnut
153,3512.4,43.0,52.5,2405257.77124183,Groundnut
53,3296.0,27.0,55.0,2432588.2075471696,Groundnut
2188,3550.0,27.0,52.5,48711.05941499086,Blackgram
2034,3654.0,27.2,57.5,25679.46656833825,Blackgram
2127,233.0,27.0,56.0,7522.422661024918,Blackgram
2050,234.0,27.0,58.0,255499.9575609756,Blackgram
1799,3105.0,27.2,54.0,230654.33796553643,Blackgram
407,2903.1,27.1,55.0,1304460.6756756755,Cashew
173,2996.6,26.8,52.5,3423535.300578035,Cashew
82,3522.8,38.0,55.0,5881143.304878049,Cashew
37,2903.1,39.0,58.0,253744.40540540536,Cashew
6631,2996.6,40.0,50.0,541814.2979942694,Cashew
326,3522.8,41.0,59.5,9514286.036809815,Coconut
6186,3729.8,42.0,53.5,512173.0811509861,Coconut
4677,2746.2,27.0,57.0,858425.9880265128,Coconut
3529,3360.0,27.0,55.0,1279726.1686030035,Coconut
